Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0980500358272937,-0.00232771681565317,0.111852076506816,0,0,0,46.5873146529749,0.661474745111325,0.0153527675183583,0.089604953466729,1.33815915829418,0.000457536691791633,1.80453325697265,0,0,0,0,0,0,package://hg_arm_bend_description/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hg_arm_bend_description/meshes/base_link.STL,,HH050(2)^HH050-1/HH050_BASE ASSY^HH050(2)_HH050-1/HH050_BASE BODY^HH050_BASE ASSY_HH050(2)_HH050-1;HH050(2)^HH050-1/HH050_BASE ASSY^HH050(2)_HH050-1/HH050_S REDUCER^HH050_BASE ASSY_HH050(2)_HH050-1;HH050(2)^HH050-1/HH050_BASE ASSY^HH050(2)_HH050-1/HH050_STOPPER^HH050_BASE ASSY_HH050(2)_HH050-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.124489041830363,-0.0393581743666849,0.118219762696502,0,0,0,33.6330721032145,0.468945917191167,-0.0589086007459388,-0.222059127182104,0.888555909380165,-0.0161423969222272,0.843325415823868,0,0,0,0,0,0,package://hg_arm_bend_description/meshes/Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hg_arm_bend_description/meshes/Link1.STL,,HH050(2)^HH050-1/HH050_S1 ASSY^HH050(2)_HH050-1/HH050_LOWER FRAME^HH050_S1 ASSY_HH050(2)_HH050-1;HH050(2)^HH050-1/HH050_S1 ASSY^HH050(2)_HH050-1/HH050_H MOTOR ASSY^HH050_S1 ASSY_HH050(2)_HH050-1/HH050_H V MOTOR^HH050_H MOTOR ASSY_HH050_S1 ASSY_HH050(2)_HH050-1;HH050(2)^HH050-1/HH050_S1 ASSY^HH050(2)_HH050-1/HH050_S MOTOR ASSY^HH050_S1 ASSY_HH050(2)_HH050-1/HH050_H V MOTOR^HH050_S MOTOR ASSY_HH050_S1 ASSY_HH050(2)_HH050-1,Origin_joint1,基准轴1,joint1,revolute,0,0,0.28,0,0,0,base_link,0,0,-1,1,1,-3.14,3.14,,,,,,,,
Link2,-0.00191502415367473,-0.0672730286474408,0.372447137291563,0,0,0,34.2613834304154,1.7334759524833,-0.000101095446454565,0.000958860727692765,1.86610585301145,0.0321183884522118,0.208398466725149,0,0,0,0,0,0,package://hg_arm_bend_description/meshes/Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hg_arm_bend_description/meshes/Link2.STL,,HH050(2)^HH050-1/HH050_S1 ASSY^HH050(2)_HH050-1/HH050_H REDUCER^HH050_S1 ASSY_HH050(2)_HH050-1;HH050(2)^HH050-1/HH050_A2 ASSY^HH050(2)_HH050-1/HH050_UPPER FRAME^HH050_A2 ASSY_HH050(2)_HH050-1;HH050(2)^HH050-1/HH050_A1 ASSY^HH050(2)_HH050-1/HH050_V REDUCER^HH050_A1 ASSY_HH050(2)_HH050-1,Origin_joint2,基准轴2,joint2,revolute,0.32,0.1,0.2,0,0,3.1416,Link1,0,-1,0,1,1,-3.14,3.14,,,,,,,,
Link3,-0.183102672704758,0.017981874347669,0.119362800384375,0,0,0,32.9263890108208,0.308931114884525,0.0224354465402859,0.055627711648795,0.601143194786424,-0.00263574311954439,0.489915483725197,0,0,0,0,0,0,package://hg_arm_bend_description/meshes/Link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hg_arm_bend_description/meshes/Link3.STL,,HH050(2)^HH050-1/HH050_A1 ASSY^HH050(2)_HH050-1/HH050_V MOTOR ASSY^HH050_A1 ASSY_HH050(2)_HH050-1/HH050_H V MOTOR^HH050_V MOTOR ASSY_HH050_A1 ASSY_HH050(2)_HH050-1;HH050(2)^HH050-1/HH050_A1 ASSY^HH050(2)_HH050-1/HH050_ARM FRAME^HH050_A1 ASSY_HH050(2)_HH050-1;HH050(2)^HH050-1/HH050_A1 ASSY^HH050(2)_HH050-1/HH050_MOTOR^HH050_A1 ASSY_HH050(2)_HH050-1;HH050(2)^HH050-1/HH050_A1 ASSY^HH050(2)_HH050-1/HH050_MOTOR^HH050_A1 ASSY_HH050(2)_HH050-2;HH050(2)^HH050-1/HH050_A1 ASSY^HH050(2)_HH050-1/HH050_MOTOR^HH050_A1 ASSY_HH050(2)_HH050-3;HH050(2)^HH050-1/HH050_A1 ASSY^HH050(2)_HH050-1/HH050_ARM PIPE^HH050_A1 ASSY_HH050(2)_HH050-1,Origin_joint3,基准轴3,joint3,revolute,0,0.084,0.87,0,0,0,Link2,0,1,0,1,1,-3.14,3.14,,,,,,,,
Link4,0.0251416371906672,-2.64594692822584E-08,-0.00119929727767354,0,0,0,3.31772253710851,0.00871539895331899,4.72234769705073E-09,0.000405286761999623,0.0128061237486537,-3.39763923044189E-09,0.0127319094954166,0,0,0,0,0,0,package://hg_arm_bend_description/meshes/Link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hg_arm_bend_description/meshes/Link4.STL,,HH050(2)^HH050-1/HH050_WRIST R2 OUTPUT^HH050(2)_HH050-1/HH050_WRIST BODY^HH050_WRIST R2 OUTPUT_HH050(2)_HH050-1;HH050(2)^HH050-1/HH050_A1 ASSY^HH050(2)_HH050-1/HH050_R2 REDUCER^HH050_A1 ASSY_HH050(2)_HH050-1,Origin_joint4,基准轴4,joint4,revolute,-0.86,0.016,0.2,-1.5708,0,3.1416,Link3,1,0,0,1,1,-3.14,3.14,,,,,,,,
Link5,0.0761284567626129,-0.0236687427949571,0.0192511620493179,0,0,0,3.21802266833736,0.0115685195832536,-0.000566862871540121,0.000478618021045719,0.010525417907517,0.00142169346768481,0.0110683735994668,0,0,0,0,0,0,package://hg_arm_bend_description/meshes/Link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hg_arm_bend_description/meshes/Link5.STL,,HH050(2)^HH050-1/HH050_WRIST B OUTPUT^HH050(2)_HH050-1/HH050_B REDUCER^HH050_WRIST B OUTPUT_HH050(2)_HH050-1;HH050(2)^HH050-1/HH050_WRIST B OUTPUT^HH050(2)_HH050-1/HH050_WRIST HOLDER^HH050_WRIST B OUTPUT_HH050(2)_HH050-1;HH050(2)^HH050-1/HH050_WRIST B OUTPUT^HH050(2)_HH050-1/HH050_WRIST CAP^HH050_WRIST B OUTPUT_HH050(2)_HH050-1;HH050(2)^HH050-1/HH050_WRIST B OUTPUT^HH050(2)_HH050-1/HH050_COVER PLATE^HH050_WRIST B OUTPUT_HH050(2)_HH050-1,Origin_joint5,基准轴5,joint5,revolute,0.17,0,-0.087,-2.26689,-1.5708,0,Link4,1,0,0,1,1,-3.14,3.14,,,,,,,,
Link6,0,0,0.0179258799870539,0,0,0,1.03809496696182,0.00165602822384769,2.71050543121376E-19,7.25060202849681E-19,0.00165602822384768,-3.03576608295941E-18,0.00254659409207581,0,0,0,0,0,0,package://hg_arm_bend_description/meshes/Link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hg_arm_bend_description/meshes/Link6.STL,,HH050(2)^HH050-1/HH050_WRIST B OUTPUT^HH050(2)_HH050-1/HH050_R1 REDUCER^HH050_WRIST B OUTPUT_HH050(2)_HH050-1,Origin_joint6,基准轴6,joint6,revolute,0.091,-0.10145,0.081284,0.89022,-0.11255,0.090681,Link5,0,0,1,1,1,-3.14,3.14,,,,,,,,
gripper,-0.000800000000000023,-0.0953720583235611,-0.208781587074253,0,0,0,0.843628368630204,0.00120327643820655,3.98377889713135E-06,-2.78947201433193E-06,0.00157497092398128,0.000538997184197691,0.0019673287867838,0,0,0,0,0,0,package://hg_arm_bend_description/meshes/gripper.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://hg_arm_bend_description/meshes/gripper.STL,,11.5弯折手指-3/SSWS1104-1-5A法兰连接盘-1;11.5弯折手指-3/MHZ2-40D(30_0)-1-1/_MHZ2-40D_Body(0)^MHZ2-40D(30_0)-1-1,Origin_gripper,,gripper,fixed,-0.0074525,-0.040963,0.2905,0.61087,0,-0.19918,Link6,0,0,0,,,,,,,,,,,,
finger1,-0.0149825561728722,0.00766914135821395,0.0163030997564393,0,0,0,0.136847072523442,0.000137531297377429,2.8724798129231E-06,6.77437980169981E-06,0.000116059899006359,-4.07993447332033E-05,2.59700971449525E-05,0,0,0,0,0,0,package://hg_arm_bend_description/meshes/finger1.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://hg_arm_bend_description/meshes/finger1.STL,,11.5弯折手指-3/8-26-10 夹爪-1;11.5弯折手指-3/MHZ2-40D(30_0)-1-1/_MHZ2-40D_Finger(0)^MHZ2-40D(30_0)-1-1,Origin_finger1,基准轴7,finger1,prismatic,-0.0226,-0.0096577,-0.08663,0.61087,0,3.1416,gripper,-1,0,0,20,1,0,0.04,,,,,,,,
finger2,0.0151825561728721,0.0076691413582135,0.0163030997564396,0,0,0,0.136847072523442,0.000137531297377429,-2.87247981292306E-06,-6.77437980169975E-06,0.000116059899006359,-4.07993447332036E-05,2.59700971449525E-05,0,0,0,0,0,0,package://hg_arm_bend_description/meshes/finger2.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://hg_arm_bend_description/meshes/finger2.STL,,11.5弯折手指-3/镜向8-26-10 夹爪-2;11.5弯折手指-3/MHZ2-40D(30_0)-1-1/_MHZ2-40D_Finger(0)^MHZ2-40D(30_0)-1-2,Origin_finger2,基准轴8,finger2,prismatic,0.0212,-0.0096577,-0.08663,0.61087,0,3.1416,gripper,1,0,0,20,1,0,0.04,,,,,,,,
